parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,40.581132,,7437,-75.388333,,,3231,,PA 378 at Black River SB,0,,
,40.690043,,1189,-75.233941,,,1968,,Northampton at 16th WB,0,,
,40.632748,,4747,-75.484405,,,3237,,Grape at MacArthur WB,0,,
,40.633335,,4703,-75.482281,,,3235,,Grape at Whitehall Mall WB,0,,
,40.690507,,1193,-75.226183,,,1964,,Northampton at 12th WB,0,,
,40.690422,,1192,-75.227961,,,1965,,Northampton at 13th WB,0,,
,40.690321,,1191,-75.230017,,,1966,,Northampton at 14th WB,0,,
,40.690232,,1190,-75.231994,,,1967,,Northampton at 15th WB,0,,
,40.690675,,1195,-75.222218,,,1962,,Northampton at 10th WB,0,,
,40.690599,,1194,-75.224229,,,1963,,Northampton at 11th WB,0,,
,40.612236,,6186,-75.346517,,,428_merged_671161,,4th at Emery WB,0,,
,40.688964,,3000,-75.209638,,,2872,,EITC - Easton Intermodal Transit Center,0,,
,40.55617765,,3145,-75.57683554,,,2871,,Commercial Center at Hamilton WB,0,,
,40.60745085,,3149,-75.3305355,,,2877,,2785 Commerce WB,0,,
,40.607273,,3148,-75.330471,,,2876,,2785 Commerce EB,0,,
,40.604149,,3147,-75.336064,,,2875,,Commerce at Gilchrist WB,0,,
,40.603675,,3146,-75.338475,,,2874,,Commerce at Gilchrist EB,0,,
,40.740699,,3151,-75.276272,,,2879,,Van Buren at Main,0,,
,40.620141,,1331,-75.480043,,,497_merged_671206,,MacArthur at New York,0,,
,40.676848,,4322,-75.487149,,,1768,,Main at 9th NB,0,,
,40.677125,,4278,-75.487546,,,1769,,Main at 9th SB,0,,
,40.673086,,4275,-75.481192,,,1762,,Main at 4th SB,0,,
,40.741998,,5549,-75.253061,,,1763,,Main at 4th SB - Tatamy,0,,
,40.672772,,4319,-75.480971,,,1760,,Main at 4th NB,0,,
,40.740645,,5464,-75.260156,,,1761,,Main at 8th WB - Tatamy,0,,
,40.674967,,4321,-75.485825,,,1766,,Main at 7th NB - Northampton,0,,
,40.674992,,4277,-75.486024,,,1767,,Main at 7th SB - Northampton,0,,
,40.859241,,6480,-75.273805,,,2791,,Penn at Sanders SB,0,,
,40.557761,,6148,-75.481507,,,1145,,Emaus at 30th NB,0,,
,40.614273,,3237,-75.493428,,,2967,,14th at Highland,0,,
,40.614837,,4813,-75.491521,,,1546,,Highland at 13th,0,,
,40.668377,,5506,-75.379033,,,1547,,Highland at Burgess WB,0,,
,40.622541,,1132,-75.400737,,,690,,Broad at 12th EB,0,,
,40.622722,,1153,-75.400281,,,691,,Broad at 12th WB,0,,
,40.597799,,5796,-75.606982,,,1542,,Hickory at Snowdrift WB,0,,
,40.610191,,6187,-75.340571,,,1540,,Hellertown at Shimersville NB,0,,
,40.597643,,5838,-75.607857,,,1541,,Hickory at Snowdrift EB,0,,
,40.622621,,1128,-75.406055,,,698,,Broad at 16th EB,0,,
,40.622805,,1149,-75.405747,,,699,,Broad at 16th WB,0,,
,40.667899,,5414,-75.382279,,,1548,,Highland at Adler EB,0,,
,40.668065,,5505,-75.381982,,,1549,,Highland at Adler WB,0,,
,40.633223,,6160,-75.395623,,,542,,8th at Eaton SB,0,,
,40.588716,,4739,-75.467742,,,547,,8th at Susquehanna,0,,
,40.591448,,4687,-75.468922,,,544,,8th at St John NB,0,,
,40.842903,,5556,-75.293846,,,763,,Broadway at 5th SB,0,,
,40.611238,,6210,-75.478031,,,548,,8th at Tilghman,0,,
,40.604399,,4285,-75.474842,,,549,,8th at Turner,0,,
,40.582077,,5656,-75.340989,,,1784,,Main at Depot NB,0,,
,40.580076,,6200,-75.340996,,,1785,,Main at Warren SB,0,,
,40.580739,,5655,-75.340884,,,1786,,Main at Warren NB,0,,
,40.836635,,5552,-75.296482,,,765,,Broadway at A,0,,
,40.610341,,4576,-75.381164,,,414,,4th at Brodhead,0,,
,40.610767,,4592,-75.36918,,,415,,4th at Buchanan WB,0,,
,40.610655,,4591,-75.369005,,,416,,4th at Buchanan EB,0,,
,40.660755,,4312,-75.478033,,,417,,4th at Buttonwood WB,0,,
,40.659738,,4311,-75.476603,,,410,,4th at Arch WB,0,,
,40.636135,,4705,-75.472108,,,1389,,Grape at 4th,0,,
,40.675056,,5368,-75.320925,,,1384,,Green Pond at Country Meadows EB,0,,
,40.676681,,5273,-75.207861,,,1385,,Grant at Folk WB,0,,
,40.677582,,5337,-75.205398,,,1386,,Charles at Grant SB,0,,
,40.677289,,5274,-75.205391,,,1387,,Grant at Charles,0,,
,40.660911,,4269,-75.478461,,,418,,4th at Buttonwood EB,0,,
,40.658866,,4310,-75.475348,,,419,,4th at Chapel WB,0,,
,40.612111,,4720,-75.458571,,,1382,,Gordon at Front EB,0,,
,40.67641,,5369,-75.313657,,,1383,,Green Pond at Campbell EB,0,,
,40.555889,,4171,-75.489123,,,368,,33rd at Lehigh,0,,
,40.555241,,4170,-75.486541,,,366,,33rd at Berger WB,0,,
,40.669189,,6042,-75.489101,,,362,,2nd at Schreiber SB,0,,
,40.612881,,6261,-75.373231,,,2714_merged_671164,,Polk at 2nd SB,0,,
,40.539834,,4191,-75.496801,,,381,,3rd at Harrison NB,0,,
,40.638283,,6051,-75.471391,,,382,,3rd at Jefferson NB,0,,
,40.638058,,6085,-75.471333,,,383,,3rd at Jefferson SB,0,,
,40.536144,,4186,-75.490373,,,385,,3rd at Main WB,0,,
,40.535992,,4216,-75.490341,,,386,,3rd at Main EB,0,,
,40.691843,,5397,-75.209091,,,387,,3rd at Northampton,0,,
,40.537738,,4188,-75.493151,,,388,,3rd at North,0,,
,40.74813867,,5900,-75.61167636,,,2190,,Rt 873 at Franklin SB,0,,
,40.702254,,5906,-75.613368,,,2191,,Rt 873 at Glencrest NB,0,,
,40.70201947,,5954,-75.61325727,,,2192,,Rt 873 at Glencrest SB,0,,
,40.729018,,5958,-75.618017,,,2193,,Rt 873 at Hill NB,0,,
,40.693833,,6007,-75.609648,,,2194,,5629 Rt 873 SB,0,,
,40.7127401,,6008,-75.62398458,,,2195,,Rt 873 at Terrace SB,0,,
,40.71224626,,5953,-75.62387068,,,2196,,Rt 873 at Terrace NB,0,,
,40.69471706,,5956,-75.60964708,,,2197,,Rt 873 at Park NB,0,,
,40.62257,,5685,-75.360131,,,252,,Stefko at Broad,0,,
,40.674204,,5963,-75.612885,,,2199,,Rt 873 at Schneck,0,,
,40.618204,,4864,-75.493083,,,250,,13th at Fairmont SB,0,,
,40.615018,,4862,-75.491562,,,251,,13th at Highland,0,,
,40.616406,,4815,-75.492059,,,256,,13th at Pennsylvania NB,0,,
,40.616634,,4863,-75.492332,,,257,,13th at Pennsylvania SB,0,,
,40.735766,,5684,-75.235323,,,255,,Sullivan Trail at American General SB,0,,
,40.673274,,6013,-75.612541,,,2200,,Rt 873 at Rt 309,0,,
,40.74677397,,5950,-75.61108415,,,2201,,Rt 873 at South SB,0,,
,40.746577,,5902,-75.610873,,,2202,,Rt 873 at South NB,0,,
,40.75665619,,5949,-75.59485361,,,2204,,Main at Best EB,0,,
,40.68711951,,5959,-75.61096298,,,2205,,Rt 873 at Washington NB,0,,
,40.687645,,6009,-75.610754,,,2207,,Rt 873 at Washington SB,0,,
,40.698527,,6005,-75.609373,,,2208,,Rt 873 at Woodland SB,0,,
,40.6773,,5962,-75.613929,,,2209,,Rt 873 at William Penn NB,0,,
,40.621234,,4943,-75.442758,,,3210,,Irving at Dieruff NB,0,,
,40.601029,,1301,-75.48741,,,2428,,Turner at 14th,0,,
,40.600454,,1300,-75.489491,,,2429,,Turner at 15th,0,,
,40.595026,,1260,-75.537518,,,2420,,Tilghman at Trexler Park WB,0,,
,40.59496,,1275,-75.537045,,,2421,,Tilghman at Trexler Park EB,0,,
,40.674032,,5132,-75.345355,,,2422,,3859 Nazareth Pike SB,0,,
,40.605851,,5131,-75.393845,,,2423,,Tombler at Delaware,0,,
,40.603251,,1305,-75.479363,,,2425,,Turner at 10th,0,,
,40.602711,,1304,-75.481336,,,2426,,Turner at 11th,0,,
,40.602197,,1303,-75.483167,,,2427,,Turner at 12th,0,,
,40.628736,,5496,-75.375107,,,901,,Center at Laurel,0,,
,40.752678,,5896,-75.605842,,,168,,Rt 873 at Walnut WB,0,,
,40.611973,,5009,-75.380241,,,169,,3rd at Banana Factory,0,,
